,nightdate,jd,field,rcid,nalertpackets,programid,expid,fid,scimaglim,diffmaglim,seeing,difffwhm,exptime,status,exitcode,ra0,Dec-00
83030,2023-10-29T05:37:12.003,2460246.7341667,446,0,247,3,249223416,1,19.665,18.9972,2.63395,3.002055,30,1,2,354.67788,-2.65
83031,2023-10-29T05:37:53.000,2460246.7346412,498,0,176,3,249223464,1,19.675,18.98865,2.72045,3.065545,30,1,4,358.22824,4.55
83032,2023-10-29T05:38:33.003,2460246.7351042,497,0,179,3,249223510,1,19.91,19.15665,2.2990000000000004,2.72063,30,1,7,351.21736,4.55
83033,2023-10-29T05:39:14.000,2460246.7355787,549,0,143,3,249223557,1,20.08,19.23255,2.1195000000000004,2.5356,30,1,5,354.78937,11.75
83034,2023-10-29T05:39:59.999,2460246.7361111,597,0,163,3,249223611,1,20.105,19.31005,2.0783,2.5306100000000002,30,1,6,339.62582,18.95
83035,2023-10-29T05:40:41.998,2460246.7365972,548,0,144,3,249223659,1,20.095,19.2699,2.11335,2.509305,30,1,9,347.80512,11.75
83036,2023-10-29T05:41:23.004,2460246.7370718,547,0,183,3,249223707,1,20.13,19.30725,2.0455,2.4979500000000003,30,1,5,340.82087,11.75
83037,2023-10-29T05:42:05.003,2460246.7375579,599,0,97,3,249223755,1,20.01,19.2337,2.1561,2.57269,30,1,11,354.12545,18.95
83038,2023-10-29T05:42:48.997,2460246.7380671,646,0,139,3,249223806,1,20.165,19.357550000000003,1.9598499999999999,2.4052100000000003,30,1,3,345.9104,26.15
83039,2023-10-29T05:43:34.997,2460246.7385995,496,0,154,3,249223859,1,19.99,19.193150000000003,2.20845,2.645305,30,1,5,344.20648,4.55
83040,2023-10-29T05:44:25.999,2460246.7391898,692,0,231,3,249223918,1,20.15,19.3795,1.93015,2.3960100000000004,30,1,4,345.00678,33.35
83041,2023-10-29T05:45:13.000,2460246.7397338,598,0,142,3,249223973,1,20.17,19.3363,1.98785,2.43003,30,1,6,346.87564,18.95
83042,2023-10-29T05:45:54.999,2460246.7402199,645,0,218,3,249224021,1,20.12,19.362949999999998,2.0135,2.4789250000000003,30,1,0,338.3848,26.15
83043,2023-10-29T05:46:53.000,2460246.7408912,396,0,220,3,249224089,1,19.8,19.04125,2.3437,2.7517899999999997,30,1,3,1.70673,-2.65
83044,2023-10-29T05:48:03.001,2460246.7417014,733,0,399,3,249224170,1,19.895,19.334249999999997,2.07045,2.51308,30,1,2,338.1744,40.55
83045,2023-10-29T05:48:43.998,2460246.7421759,691,0,310,3,249224217,1,19.805,19.2553,2.33285,2.72063,30,1,1,337.223,33.35
83046,2023-10-29T05:49:40.996,2460246.7428356,445,0,243,3,249224283,1,19.83,19.077150000000003,2.3846499999999997,2.79845,30,1,1,347.64904,-2.65
83047,2023-10-29T05:50:27.004,2460246.7433681,647,0,126,3,249224336,1,19.95,19.22685,2.23025,2.648885,30,1,8,353.436,26.15
83048,2023-10-29T05:51:17.997,2460246.7439583,734,0,294,3,249224395,1,20.09,19.384349999999998,1.8822999999999999,2.361495,30,1,0,346.6058,40.55
83049,2023-10-29T05:52:03.996,2460246.7444907,644,0,263,3,249224449,1,20.035,19.329349999999998,2.08575,2.55297,30,1,3,330.8592,26.15
