GW event,Detectiontime (UTC),Locationarea[n 13](deg2),Luminositydistance(Mpc)[n 14],Detector[n 15],False Alarm Rate (Hz),BNS,NSBH,BBH,Mass Gap,Terr
S190408an,2019-04-08T18:18:02,  387,1473 +/-  358,"H,L,V",2.8e-18,0.0,0.0,1,0.0,9.8e-12
S190412m, 2019-04-12T05:30:44,  156, 812 +/-  194,"H,L,V",1.7e-27,0.0,0.0,1.0,0.0,1.7e-20
S190421ar,2019-04-21T21:38:56, 1444,1628 +/-  535,"H,L"  ,1.5e-8 ,0.0,0.0,0.97,0.0,0.03
S190425z, 2019-04-25T08:18:05, 7461, 156 +/-   41,"L,V"  ,4.5e-13,0.9994,0.0,0.0,0.0,0.0006
S190426c, 2019-04-26T15:21:55, 1131, 377 +/-  100,"H,L,V",1.9e-8 ,0.129,0.516,0.0,0.215,0.140
S190503bf,2019-05-03T18:54:04,  448, 421 +/-  105,"H,L,V",1.6e-9 ,0.0,0.0047,0.9628,0.0323,0.0001
S190510g, 2019-05-10T02:59:39, 1166, 227 +/-   92,"H,L,V",8.8e-9 ,0.42,0.0,0.0,0.0,0.58
S190512at,2019-05-12T18:07:14,  399,1331 +/-  341,"H,L,V",1.9e-9 ,0.0,0.0,0.99,0.0,0.01
S190513bm,2019-05-13T20:54:28,  691,1987 +/-  501,"H,L,V",3.7e-13,0.0,0.005,0.943,0.052,6e-8
S190517h, 2019-05-17T05:51:01,  939,2950 +/- 1038,"H,L,V",2.4e-9 ,0.0,0.00077,0.98255,0.01664,0.00004
S190519bj,2019-05-19T15:35:44,  967,3154 +/-  791,"H,L,V",5.8e-9 ,0.0,0.0,0.96,0.0,0.04
S190521g, 2019-05-21T03:02:29,  765,3931 +/-  953,"H,L,V",3.8e-9 ,0.0,0.0,0.97,0.0,0.03
S190521r, 2019-05-21T07:43:59,  488,1136 +/-  279,"H,L"  ,3.2e-10,0.0,0.0,0.9993,0.0,0.0007
S190602aq,2019-06-02T17:59:27, 1172, 797 +/-  238,"H,L,V",1.9e-9 ,0.0,0.0,0.99,0.0,0.01
S190630ag,2019-06-30T18:52:05, 8493,1059 +/-  307,"L,V"  ,1.3e-13,0.0,0.005,0.943,0.052,1.8e-7
S190701ah,2019-07-01T20:33:45,   67,1045 +/-  254,"H,L,V",1.9e-8 ,0.0,0.0,0.93,0.0,0.07
S190706ai,2019-07-06T22:26:57, 1100,5725 +/- 1446,"H,L,V",1.9e-9 ,0.0,0.0,0.99,0.0,0.01
S190707q, 2019-07-07T09:33:44, 1375, 810 +/-  234,"H,L"  ,5.3e-12,0.0,0.0,0.99999,0.0,0.00001
S190720a, 2019-07-20T00:08:53, 1461,1071 +/-  323,"H,L"  ,3.8e-9 ,0.0,0.0,0.989,0.0,0.011
S190727h, 2019-07-27T06:03:51,  151,2839 +/-  655,"H,L,V",1.4e-10,0.0,0.002,0.922,0.028,0.048
S190728q, 2019-07-28T06:45:27,  104, 786 +/-  212,"H,L,V",2.5e-23,0.0,0.0,0.954,0.046,0.0
