mjd, filter, maglim 
58726.21275766, i, 24.1977805560681 
58726.21275766, i, 24.1692810889851 
58726.21275766, i, 24.0229308110905 
58726.21275766, i, 24.132713431899 
58726.20667412, i, 23.7470636268597 
58726.21275766, i, 24.2102441291123 
58726.20667412, i, 23.7522773594392 
58726.21275766, i, 24.2209506096085 
58726.21275766, i, 24.1311236453238 
58726.21275766, i, 24.2047668374214 
58726.21275766, i, 24.1959506690225 
58726.21275766, i, 24.2083929164871 
58726.21275766, i, 24.2244877599807 
58726.21275766, i, 24.2034258381712 
58726.25763685, i, 24.3629942095354 
58726.25763685, i, 24.3740869777762 
58726.20667412, i, 23.7021451684271 
58726.20667412, i, 23.7500253959984 
58726.21275766, i, 24.0953310406334 
58726.21275766, i, 24.1761402076581 
58726.25763685, i, 24.3503457113116 
58726.21275766, i, 24.2057848210082 
58726.21275766, i, 24.1318023119364 
58726.21275766, i, 24.2112659001684 
58726.21275766, i, 24.2147451676041 
58726.19797998, i, 24.0368362958895 
58726.19797998, i, 24.0351639449968 
58726.19797998, i, 24.0421380062993 
58726.21275766, i, 24.1936121670751 
58726.21275766, i, 24.2197610233983 
58726.21275766, i, 24.1469468981821 
58726.19797998, i, 23.9938668825085 
58726.21275766, i, 24.1873186774379 
58726.20667412, i, 23.737517490835 
58726.21275766, i, 24.2102267853406 
58726.21275766, i, 24.141855986754 
58726.21275766, i, 24.207893824773 
58726.21275766, i, 24.1322042290189 
58726.21275766, i, 24.1494889254039 
58726.21275766, i, 24.1160873693076 
58726.20089652, i, 24.0573416058558 
58726.2366036, i, 24.2845066061758 
58726.24853861, i, 24.2161302915298 
58726.21275766, i, 24.1588538438497 
58726.21275766, i, 24.2197497361939 
58726.21275766, i, 24.1321176929196 
58726.2366036, i, 24.1209231452656 
58726.21275766, i, 24.1853597901721 
58726.21275766, i, 24.1977018263188 
58726.21275766, i, 24.1898806429114 
58726.21275766, i, 24.1898381395338 
58726.21275766, i, 24.1470014989065 
58726.21275766, i, 24.1371273483892 
58726.21275766, i, 24.1551161443186 
58726.21275766, i, 24.1968110807732 
58726.20667412, i, 23.6666843203311 
58726.20667412, i, 23.7589810804872 
58726.21275766, i, 24.1361407066414 
58726.20089652, i, 24.0260427780443 
58726.21275766, i, 24.2283926016975 
58726.21275766, i, 24.197024841285 
58726.21275766, i, 24.1909192169792 
58726.21275766, i, 24.1818313585102 
58726.25763685, i, 24.3408906400022 
58726.21275766, i, 24.1600872592455 
58726.21275766, i, 24.2105735977875 
58726.21275766, i, 24.1859306364017 
58726.21275766, i, 24.1859602130556 
58726.21275766, i, 24.1478459446388 
58726.21275766, i, 24.1953274452691 
