EW       	NS       	|Quad|
 2.781842	-2.866617	0
 2.782178	-2.003445	0
 3.645452	-2.001932	0
 3.645011	-2.865003	0
 1.918673	-2.868231	1
 1.918905	-2.004957	1
 2.782178	-2.003445	1
 2.781842	-2.866617	1
 1.918441	-3.731505	2
 1.918673	-2.868231	2
 2.781842	-2.866617	2
 2.781506	-3.729789	2
 2.781506	-3.729789	3
 2.781842	-2.866617	3
 3.645011	-2.865003	3
 3.644571	-3.728073	3
 0.925368	-2.867089	4
 0.925480	-2.003773	4
 1.788830	-2.003269	4
 1.788615	-2.866551	4
 0.062121	-2.867626	5
 0.062129	-2.004276	5
 0.925480	-2.003773	5
 0.925368	-2.867089	5
 0.062113	-3.730976	6
 0.062121	-2.867626	6
 0.925368	-2.867089	6
 0.925257	-3.730405	6
 0.925257	-3.730405	7
 0.925368	-2.867089	7
 1.788615	-2.866551	7
 1.788400	-3.729834	7
-0.927354	-2.866624	8
-0.927466	-2.003308	8
-0.064115	-2.003812	8
-0.064107	-2.867162	8
-1.790602	-2.866085	9
-1.790817	-2.002803	9
-0.927466	-2.003308	9
-0.927354	-2.866624	9
-1.790386	-3.729368	10
-1.790602	-2.866085	10
-0.927354	-2.866624	10
-0.927243	-3.729940	10
-0.927243	-3.729940	11
-0.927354	-2.866624	11
-0.064107	-2.867162	11
-0.064099	-3.730512	11
-2.783784	-2.866443	12
-2.784121	-2.003271	12
-1.920848	-2.004785	12
-1.920615	-2.868059	12
-3.646954	-2.864828	13
-3.647394	-2.001758	13
-2.784121	-2.003271	13
-2.783784	-2.866443	13
-3.646513	-3.727898	14
-3.646954	-2.864828	14
-2.783784	-2.866443	14
-2.783448	-3.729616	14
-2.783448	-3.729616	15
-2.783784	-2.866443	15
-1.920615	-2.868059	15
-1.920383	-3.731333	15
 2.782269	-0.953690	16
 2.782380	-0.090435	16
 3.645736	-0.089998	16
 3.645589	-0.953153	16
 1.918948	-0.954227	17
 1.919025	-0.090871	17
 2.782380	-0.090435	17
 2.782269	-0.953690	17
 1.918871	-1.817584	18
 1.918948	-0.954227	18
 2.782269	-0.953690	18
 2.782157	-1.816946	18
 2.782157	-1.816946	19
 2.782269	-0.953690	19
 3.645589	-0.953153	19
 3.645443	-1.816309	19
 0.925214	-0.953862	20
 0.925251	-0.090464	20
 1.788683	-0.090319	20
 1.788612	-0.953684	20
 0.061817	-0.954040	21
 0.061819	-0.090609	21
 0.925251	-0.090464	21
 0.925214	-0.953862	21
 0.061814	-1.817472	22
 0.061817	-0.954040	22
 0.925214	-0.953862	22
 0.925177	-1.817260	22
 0.925177	-1.817260	23
 0.925214	-0.953862	23
 1.788612	-0.953684	23
 1.788540	-1.817048	23
-0.926128	-0.953425	24
-0.926165	-0.090026	24
-0.062733	-0.090172	24
-0.062730	-0.953603	24
-1.789526	-0.953246	25
-1.789597	-0.089881	25
-0.926165	-0.090026	25
-0.926128	-0.953425	25
-1.789454	-1.816611	26
-1.789526	-0.953246	26
-0.926128	-0.953425	26
-0.926091	-1.816823	26
-0.926091	-1.816823	27
-0.926128	-0.953425	27
-0.062730	-0.953603	27
-0.062727	-1.817035	27
-2.783241	-0.953442	28
-2.783353	-0.090186	28
-1.919998	-0.090622	28
-1.919921	-0.953978	28
-3.646562	-0.952905	29
-3.646708	-0.089749	29
-2.783353	-0.090186	29
-2.783241	-0.953442	29
-3.646416	-1.816060	30
-3.646562	-0.952905	30
-2.783241	-0.953442	30
-2.783130	-1.816698	30
-2.783130	-1.816698	31
-2.783241	-0.953442	31
-1.919921	-0.953978	31
-1.919844	-1.817335	31
 2.783117	 0.954110	32
 2.783006	 1.817365	32
 3.646292	 1.816728	32
